<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;20220224;104.1500000;106.0000000;73.3700000;92.5400000;42048710
MOEX;D;20220225;95.5100000;110.0000000;91.0300000;95.5100000;24021070
MOEX;D;20220324;94.5400000;110.1000000;91.1100000;100.7500000;7843810
MOEX;D;20220325;107.8800000;108.0000000;95.3000000;96.5700000;3120740
MOEX;D;20220328;97.0100000;97.1000000;92.0400000;93.5000000;2408530
MOEX;D;20220329;91.9900000;94.0000000;86.0000000;88.4200000;5154310
MOEX;D;20220330;89.5000000;92.2300000;87.8000000;92.0000000;4260210
MOEX;D;20220331;93.8400000;100.0000000;92.6800000;99.5000000;8045410
MOEX;D;20220401;101.2700000;114.0000000;101.2000000;111.4500000;12943140
MOEX;D;20220404;111.9000000;117.0000000;110.0000000;111.0700000;8060130
MOEX;D;20220405;112.2400000;112.3900000;100.0000000;103.6500000;6567660
MOEX;D;20220406;103.8200000;106.0000000;100.1700000;102.0500000;2912140
MOEX;D;20220407;102.0000000;109.9000000;101.6600000;103.1800000;3698250
MOEX;D;20220408;103.4500000;104.6600000;100.5000000;102.2900000;1873330
MOEX;D;20220411;102.7400000;103.7000000;100.7000000;100.7700000;1404270
MOEX;D;20220412;101.0900000;101.4800000;96.5000000;99.5000000;2421680
MOEX;D;20220413;100.0800000;100.8800000;98.2000000;99.3200000;1288010
MOEX;D;20220414;99.8200000;99.8400000;93.5000000;93.5000000;2003000
MOEX;D;20220415;93.4800000;94.4300000;90.1200000;93.6500000;3411010
MOEX;D;20220418;93.9500000;95.0000000;90.8500000;90.8500000;1251850
MOEX;D;20220419;90.9900000;90.9900000;87.2200000;89.1000000;2494050
MOEX;D;20220420;89.1000000;93.7000000;87.0600000;92.4900000;2535390
MOEX;D;20220421;93.0200000;94.8300000;90.1700000;90.5200000;1740110
MOEX;D;20220422;90.5000000;91.9700000;89.2000000;90.0500000;1175060
MOEX;D;20220425;90.0500000;90.4300000;87.7000000;88.0000000;1216890
MOEX;D;20220426;88.7900000;91.4400000;88.0400000;90.8000000;2893000
MOEX;D;20220427;91.1800000;94.4400000;89.7400000;93.2500000;2705030
MOEX;D;20220428;94.2000000;97.7800000;92.0000000;92.4800000;3216590
MOEX;D;20220429;93.5200000;95.0000000;92.6700000;94.7900000;1790260
MOEX;D;20220504;94.8500000;96.8200000;90.8900000;90.8900000;2215530
MOEX;D;20220505;91.4600000;92.2500000;91.0800000;91.2100000;1104470
MOEX;D;20220506;91.3000000;91.7000000;90.0000000;90.2700000;789160
MOEX;D;20220511;90.5600000;90.9900000;89.0000000;89.6500000;1458550
MOEX;D;20220512;89.9000000;89.9300000;87.8000000;87.9700000;1489530
MOEX;D;20220513;88.2500000;88.8900000;88.0500000;88.3000000;716130
MOEX;D;20220516;88.6000000;89.8000000;88.2100000;89.0600000;1641860
MOEX;D;20220517;89.2800000;91.2000000;88.3400000;91.0700000;2362260
MOEX;D;20220518;91.1700000;94.4000000;91.0000000;91.0700000;2635190
MOEX;D;20220519;91.2100000;91.9500000;89.2200000;90.1400000;1475340
MOEX;D;20220520;90.5800000;91.9500000;89.2000000;89.6000000;1525290
MOEX;D;20220523;90.0400000;90.8000000;88.0100000;88.5000000;1045110
MOEX;D;20220524;88.9000000;89.9600000;86.7000000;88.7000000;1492780
MOEX;D;20220525;88.9800000;89.6800000;88.0500000;88.9300000;1285660
MOEX;D;20220526;89.2400000;91.1600000;89.0900000;90.2500000;1973680
MOEX;D;20220527;90.8800000;92.7000000;90.0100000;90.6500000;2413120
MOEX;D;20220530;90.9900000;91.9600000;89.1200000;89.2100000;1396050
MOEX;D;20220531;89.2100000;89.5600000;87.6200000;88.0000000;1415670
MOEX;D;20220601;88.0000000;90.0000000;87.0000000;87.5000000;2326310
MOEX;D;20220602;87.7500000;88.0000000;86.0000000;86.7200000;2046270
MOEX;D;20220603;86.9400000;90.6600000;84.5000000;88.7000000;9651770
MOEX;D;20220606;88.8000000;89.2400000;86.2500000;86.5800000;1772360
MOEX;D;20220607;86.5400000;87.1000000;85.2000000;86.1400000;1926190
MOEX;D;20220608;86.0000000;88.0000000;85.1900000;86.3500000;1802740
MOEX;D;20220609;86.3500000;86.8700000;85.5000000;85.8900000;1266500
MOEX;D;20220610;85.9900000;86.7600000;85.3800000;85.7000000;1470220
MOEX;D;20220614;85.7200000;86.3300000;85.0600000;85.5100000;1514010
MOEX;D;20220615;85.5500000;86.0000000;85.1100000;85.3900000;1465130
MOEX;D;20220616;85.4900000;87.5900000;85.3000000;87.0900000;2773580
MOEX;D;20220617;87.2000000;87.4500000;85.4100000;86.0500000;1727600
MOEX;D;20220620;86.1400000;88.8300000;86.1400000;88.4500000;3978300
MOEX;D;20220621;89.4900000;89.5000000;87.0000000;87.2200000;2645910
MOEX;D;20220622;87.0900000;87.1700000;86.0000000;86.5800000;1988690
MOEX;D;20220623;86.7700000;88.1000000;86.0100000;87.8100000;2374890
MOEX;D;20220624;88.0100000;89.3700000;87.2400000;89.3700000;2692990
MOEX;D;20220627;89.2800000;92.1700000;89.0400000;90.2500000;4284910
MOEX;D;20220628;90.7700000;91.4800000;87.9000000;87.9500000;3136760
MOEX;D;20220629;88.1000000;89.3500000;86.2100000;86.9000000;3912210
MOEX;D;20220630;87.2700000;88.1600000;85.0000000;85.7700000;5088730
MOEX;D;20220701;85.7700000;86.8000000;84.0300000;85.3600000;3656220
MOEX;D;20220704;85.3600000;86.3000000;84.8000000;85.0200000;1846820
MOEX;D;20220705;84.8800000;85.8700000;84.2600000;85.2600000;2195700
MOEX;D;20220706;85.2500000;86.6800000;85.0000000;85.4800000;2254500
MOEX;D;20220707;85.5000000;85.9000000;85.0400000;85.3100000;1619610
