<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
IRKT;D;20220106;22.0200000;22.2400000;21.8000000;21.9600000;45400
IRKT;D;20220110;22.0000000;22.1200000;20.5000000;21.6600000;202100
IRKT;D;20220111;21.6600000;21.9800000;21.4000000;21.9000000;86600
IRKT;D;20220112;22.0000000;22.4000000;22.0000000;22.2800000;47100
IRKT;D;20220113;22.5800000;22.5800000;21.6200000;22.2000000;353700
IRKT;D;20220114;21.7000000;22.2800000;20.5000000;20.5200000;215300
IRKT;D;20220117;20.9400000;20.9600000;19.9200000;20.1800000;111100
IRKT;D;20220118;20.1600000;20.1800000;19.4800000;19.7200000;204400
IRKT;D;20220119;19.9200000;20.6400000;19.6400000;20.2600000;85200
IRKT;D;20220120;20.2600000;20.8200000;20.2600000;20.8000000;44400
IRKT;D;20220121;20.7800000;21.9200000;20.7800000;20.8600000;211900
IRKT;D;20220124;21.0800000;21.0800000;19.5600000;19.5600000;128700
IRKT;D;20220125;19.7600000;20.4600000;19.5600000;20.0800000;62300
IRKT;D;20220126;20.3800000;20.4200000;20.1000000;20.1600000;15500
IRKT;D;20220127;20.2600000;20.8200000;20.1800000;20.6800000;49200
IRKT;D;20220128;20.9800000;21.0200000;20.5000000;20.7000000;21400
IRKT;D;20220131;20.9000000;21.1400000;20.5600000;20.7000000;32800
IRKT;D;20220201;20.6400000;20.9800000;20.5200000;20.8400000;18500
IRKT;D;20220202;20.6400000;20.6600000;20.3400000;20.4600000;39600
IRKT;D;20220203;20.1600000;20.4600000;19.9000000;20.1600000;54800
IRKT;D;20220204;20.0600000;20.2000000;19.8400000;20.0000000;31800
IRKT;D;20220207;20.3800000;20.4000000;20.0000000;20.0400000;18000
IRKT;D;20220208;20.1000000;20.3400000;20.0800000;20.3400000;3900
IRKT;D;20220209;20.4600000;20.8400000;20.2000000;20.7600000;51200
IRKT;D;20220210;20.9600000;21.4800000;20.7200000;21.0400000;85000
IRKT;D;20220211;20.7400000;20.7400000;20.5000000;20.7000000;58100
IRKT;D;20220214;20.6600000;20.6600000;19.7200000;20.2000000;106900
IRKT;D;20220215;20.4800000;20.8000000;20.3200000;20.3600000;22000
IRKT;D;20220216;20.3400000;20.8800000;20.3400000;20.8200000;81300
IRKT;D;20220217;20.9600000;22.3800000;20.9400000;21.3800000;165500
IRKT;D;20220218;21.6000000;21.7400000;20.5200000;20.6600000;42000
IRKT;D;20220221;21.3200000;21.3200000;19.0000000;19.4000000;205000
IRKT;D;20220222;19.0400000;19.7800000;18.2800000;19.7800000;192900
IRKT;D;20220224;20.0200000;20.0200000;12.3800000;15.4800000;418500
IRKT;D;20220225;16.4000000;18.6000000;13.8600000;16.0000000;168200
IRKT;D;20220328;16.0000000;18.2000000;15.4600000;17.5000000;243300
IRKT;D;20220329;17.9600000;21.6000000;17.0200000;21.3600000;373100
IRKT;D;20220330;21.7000000;24.4000000;21.0000000;21.4800000;541200
IRKT;D;20220331;20.5400000;26.8400000;20.5200000;26.4400000;1174800
IRKT;D;20220401;26.5000000;26.5600000;22.9200000;24.3200000;852600
IRKT;D;20220404;24.4400000;26.0000000;23.5000000;25.9800000;443900
