<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX.DSKY:SMAL;D;20211228;125.0000000;130.5400000;121.0200000;121.0200000;23
MOEX.DSKY:SMAL;D;20211229;142.1000000;142.1000000;131.2200000;131.2200000;11
MOEX.DSKY:SMAL;D;20211230;128.9800000;128.9800000;121.0000000;121.0000000;20
MOEX.DSKY:SMAL;D;20220104;124.0600000;127.3800000;124.0600000;127.3800000;8
MOEX.DSKY:SMAL;D;20220105;135.9800000;135.9800000;135.9800000;135.9800000;3
MOEX.DSKY:SMAL;D;20220106;131.9800000;145.0400000;121.6400000;145.0400000;12
MOEX.DSKY:SMAL;D;20220110;129.0000000;129.0000000;124.6800000;124.6800000;4
MOEX.DSKY:SMAL;D;20220111;122.1000000;134.9800000;122.1000000;124.0000000;8
MOEX.DSKY:SMAL;D;20220112;131.9800000;131.9800000;131.9800000;131.9800000;4
MOEX.DSKY:SMAL;D;20220113;122.5200000;134.9800000;121.0200000;123.4200000;29
MOEX.DSKY:SMAL;D;20220114;125.8800000;125.8800000;117.6000000;117.6000000;30
MOEX.DSKY:SMAL;D;20220117;126.9200000;126.9200000;117.0200000;124.5800000;15
MOEX.DSKY:SMAL;D;20220118;124.9200000;124.9200000;112.0000000;117.9800000;28
MOEX.DSKY:SMAL;D;20220119;119.8800000;119.8800000;110.9000000;111.0000000;32
MOEX.DSKY:SMAL;D;20220120;111.0000000;115.5000000;106.0200000;112.3800000;30
MOEX.DSKY:SMAL;D;20220121;105.5000000;110.9000000;103.0000000;105.4000000;39
MOEX.DSKY:SMAL;D;20220124;103.5400000;112.4200000;100.0000000;103.4000000;38
MOEX.DSKY:SMAL;D;20220125;104.5000000;112.3000000;102.0000000;102.0000000;6
MOEX.DSKY:SMAL;D;20220126;103.0200000;114.9200000;102.1000000;102.4200000;17
MOEX.DSKY:SMAL;D;20220127;111.9000000;111.9000000;100.7800000;111.7400000;26
MOEX.DSKY:SMAL;D;20220128;111.9400000;111.9400000;100.2200000;103.0000000;23
MOEX.DSKY:SMAL;D;20220131;104.0000000;104.0000000;101.5400000;103.0000000;8
MOEX.DSKY:SMAL;D;20220201;102.0200000;110.0400000;102.0200000;109.9600000;7
MOEX.DSKY:SMAL;D;20220202;102.0600000;113.9000000;101.5000000;101.5000000;13
MOEX.DSKY:SMAL;D;20220203;101.5000000;101.5000000;100.2000000;100.2000000;11
MOEX.DSKY:SMAL;D;20220204;100.0000000;103.3800000;98.5000000;98.5000000;18
MOEX.DSKY:SMAL;D;20220207;100.3000000;108.9400000;97.5200000;98.0000000;18
MOEX.DSKY:SMAL;D;20220208;100.0000000;104.0000000;99.0200000;102.0000000;15
MOEX.DSKY:SMAL;D;20220209;104.0000000;110.0000000;103.0000000;110.0000000;10
MOEX.DSKY:SMAL;D;20220210;112.5000000;115.0000000;111.0000000;111.5000000;24
MOEX.DSKY:SMAL;D;20220211;116.5200000;116.5200000;107.5200000;107.5200000;4
MOEX.DSKY:SMAL;D;20220214;116.5400000;116.5400000;116.5400000;116.5400000;6
MOEX.DSKY:SMAL;D;20220215;109.0200000;113.4000000;109.0200000;113.4000000;10
MOEX.DSKY:SMAL;D;20220216;113.0200000;114.3000000;113.0000000;113.0000000;9
MOEX.DSKY:SMAL;D;20220217;110.0200000;116.5600000;110.0200000;116.5600000;4
MOEX.DSKY:SMAL;D;20220218;108.0000000;108.0000000;103.2000000;103.2000000;12
MOEX.DSKY:SMAL;D;20220221;102.0000000;102.0000000;96.0000000;96.0000000;14
MOEX.DSKY:SMAL;D;20220222;91.0000000;95.0000000;87.0000000;94.3000000;25
MOEX.DSKY:SMAL;D;20220224;87.0000000;87.0000000;50.0000000;77.0200000;27
MOEX.DSKY:SMAL;D;20220225;84.2000000;89.8000000;74.2200000;82.8200000;52
MOEX.DSKY:SMAL;D;20220324;83.0000000;83.0000000;81.0000000;82.0000000;11
MOEX.DSKY:SMAL;D;20220325;78.0000000;79.5800000;74.0000000;74.5800000;23
MOEX.DSKY:SMAL;D;20220328;74.8000000;76.0000000;73.9000000;73.9000000;5
MOEX.DSKY:SMAL;D;20220329;75.0200000;75.0200000;68.0200000;71.1000000;5
MOEX.DSKY:SMAL;D;20220330;78.0000000;84.5800000;77.0000000;80.0000000;27
MOEX.DSKY:SMAL;D;20220331;84.6000000;87.5400000;84.6000000;87.5400000;12
