<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;20220421;4241.0000000;4273.5000000;4055.5000000;4197.5000000;160577
MGNT;D;20220422;4163.0000000;4330.0000000;4137.0000000;4170.0000000;357421
MGNT;D;20220425;4163.0000000;4318.5000000;4075.0000000;4299.5000000;94345
MGNT;D;20220426;4335.5000000;4460.0000000;4332.0000000;4460.0000000;159269
MGNT;D;20220427;4470.5000000;4761.0000000;4450.5000000;4720.0000000;234941
MGNT;D;20220428;4760.0000000;4939.0000000;4443.0000000;4566.5000000;296331
MGNT;D;20220429;4580.5000000;4700.0000000;4355.0000000;4592.5000000;257475
MGNT;D;20220504;4611.0000000;4796.5000000;4506.0000000;4651.0000000;142302
MGNT;D;20220505;4681.0000000;4792.0000000;4670.0000000;4741.0000000;81292
MGNT;D;20220506;4770.0000000;4784.5000000;4662.5000000;4750.0000000;58612
MGNT;D;20220511;4759.0000000;4826.0000000;4680.0000000;4805.0000000;95713
MGNT;D;20220512;4770.5000000;4898.0000000;4690.0000000;4720.0000000;129648
MGNT;D;20220513;4740.0000000;4790.0000000;4608.5000000;4637.0000000;64815
MGNT;D;20220516;4660.0000000;4825.0000000;4651.0000000;4790.5000000;74639
MGNT;D;20220517;4846.0000000;4875.0000000;4790.5000000;4828.5000000;63640
MGNT;D;20220518;4840.5000000;4923.5000000;4833.0000000;4890.0000000;70638
MGNT;D;20220519;4895.0000000;4904.5000000;4792.0000000;4885.0000000;101134
MGNT;D;20220520;4883.5000000;4884.0000000;4610.0000000;4620.0000000;85233
MGNT;D;20220523;4658.5000000;4686.5000000;4412.0000000;4475.5000000;76594
MGNT;D;20220524;4462.5000000;4474.0000000;4259.0000000;4350.0000000;84749
MGNT;D;20220525;4349.0000000;4576.0000000;4348.0000000;4576.0000000;65082
MGNT;D;20220526;4579.0000000;4690.0000000;4550.0000000;4610.0000000;92338
MGNT;D;20220527;4610.0000000;4632.0000000;4470.0000000;4520.0000000;63091
MGNT;D;20220530;4522.0000000;4622.0000000;4364.0000000;4622.0000000;78455
MGNT;D;20220531;4605.0000000;4690.5000000;4515.5000000;4640.0000000;104875
MGNT;D;20220601;4637.5000000;4637.5000000;4512.5000000;4586.5000000;65806
MGNT;D;20220602;4565.0000000;4575.0000000;4380.0000000;4448.0000000;63262
MGNT;D;20220603;4451.0000000;4452.0000000;4261.0000000;4382.0000000;91790
MGNT;D;20220606;4362.0000000;4374.5000000;4200.5000000;4223.5000000;94818
MGNT;D;20220607;4223.5000000;4463.0000000;4120.0000000;4420.0000000;199361
MGNT;D;20220608;4430.0000000;4488.0000000;4280.5000000;4338.0000000;123772
MGNT;D;20220609;4323.0000000;4324.5000000;4219.0000000;4300.0000000;75202
