<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MTSS;D;20220801;244.0500000;244.4000000;238.5000000;241.7500000;987540
MTSS;D;20220802;240.7500000;241.9500000;239.0000000;241.0000000;656750
MTSS;D;20220803;240.9500000;247.5000000;240.1000000;246.3000000;1461560
MTSS;D;20220804;246.6000000;252.2000000;245.5500000;251.0000000;1539650
MTSS;D;20220805;250.0000000;251.8500000;240.8000000;241.4500000;1453040
MTSS;D;20220808;244.9000000;249.3500000;243.7000000;247.1500000;886930
MTSS;D;20220809;247.2000000;248.0000000;244.1500000;247.8500000;699840
MTSS;D;20220810;248.8500000;251.0000000;246.7000000;250.0500000;697230
MTSS;D;20220811;250.8000000;251.7000000;245.3000000;245.5000000;579950
MTSS;D;20220812;245.0000000;247.1500000;243.1000000;245.1000000;687530
MTSS;D;20220815;247.1000000;248.8500000;243.0000000;246.3000000;885270
MTSS;D;20220816;246.4000000;248.7500000;244.0000000;248.0000000;968460
MTSS;D;20220817;248.0000000;250.0000000;244.0500000;245.0000000;1285090
MTSS;D;20220818;245.9500000;247.4000000;238.5000000;241.9500000;2249270
MTSS;D;20220819;240.0000000;241.2500000;236.4000000;240.0000000;1936360
MTSS;D;20220822;240.0000000;240.0000000;237.4000000;238.1000000;851220
MTSS;D;20220823;238.8500000;239.1500000;235.2000000;236.0000000;1734160
MTSS;D;20220824;235.9500000;236.4500000;230.1500000;231.8500000;1702870
MTSS;D;20220825;232.4500000;236.8500000;231.2500000;236.4000000;1880520
MTSS;D;20220826;236.4000000;240.1000000;234.1500000;240.1000000;1378570
MTSS;D;20220829;240.0000000;242.5000000;238.1000000;241.0000000;1207670
MTSS;D;20220830;241.4500000;243.2000000;239.0000000;239.3000000;895660
MTSS;D;20220831;239.0000000;240.3500000;235.2000000;236.3000000;1532990
MTSS;D;20220901;236.9000000;242.0000000;236.6500000;241.4500000;1626220
MTSS;D;20220902;241.6000000;245.0000000;237.3500000;240.3000000;2030010
MTSS;D;20220905;240.2000000;243.0000000;239.8500000;242.8000000;1058270
MTSS;D;20220906;242.8000000;244.4500000;238.5000000;239.0000000;1874860
MTSS;D;20220907;239.3000000;239.3000000;235.2500000;236.0500000;1653370
MTSS;D;20220908;236.4000000;240.3000000;236.0000000;237.5500000;1005630
MTSS;D;20220909;237.4500000;240.0000000;237.0500000;237.7500000;857030
MTSS;D;20220912;237.3000000;242.4000000;237.1500000;240.6000000;1272940
