<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SIBN;D;20221013;366.4500000;382.9500000;365.2500000;376.3000000;446693
SIBN;D;20221014;378.4000000;382.0000000;372.5500000;377.8500000;258700
SIBN;D;20221017;378.8000000;389.0000000;376.4500000;387.5500000;240311
SIBN;D;20221018;391.0000000;392.6000000;382.0000000;388.9000000;262032
SIBN;D;20221019;386.0000000;388.7000000;378.2000000;385.0000000;270367
SIBN;D;20221020;386.9500000;396.8000000;385.0500000;390.0000000;286202
SIBN;D;20221021;391.9500000;397.0500000;387.0500000;396.1500000;160025
SIBN;D;20221024;401.0000000;406.3000000;395.0000000;406.3000000;221683
SIBN;D;20221025;407.0000000;417.6500000;404.8000000;416.4500000;348646
SIBN;D;20221026;414.9500000;415.0000000;408.5000000;415.0000000;289275
SIBN;D;20221027;417.0000000;421.6000000;415.2000000;420.2000000;269850
SIBN;D;20221028;418.4000000;435.0000000;415.0000000;430.5000000;395890
SIBN;D;20221031;430.8500000;434.0000000;424.3500000;430.5000000;652175
SIBN;D;20221101;430.9500000;440.0000000;430.9500000;437.1000000;819793
SIBN;D;20221102;436.5000000;448.0500000;434.0500000;441.5000000;1224274
SIBN;D;20221103;439.2000000;446.5500000;434.1500000;445.9500000;932510
SIBN;D;20221107;447.9000000;450.4500000;444.5000000;448.4000000;509873
SIBN;D;20221108;450.0000000;452.5000000;436.0000000;446.0000000;474784
SIBN;D;20221109;445.7500000;449.9000000;437.0500000;437.0500000;429862
SIBN;D;20221110;437.0500000;448.0000000;437.0000000;445.3000000;566587
SIBN;D;20221111;447.5000000;460.4500000;445.0500000;455.5500000;1428491
SIBN;D;20221114;460.6000000;460.7500000;445.1500000;458.2000000;1041138
SIBN;D;20221115;458.4000000;459.0000000;447.1500000;448.5000000;644314
SIBN;D;20221116;445.6000000;472.0000000;441.8000000;463.0500000;3799880
SIBN;D;20221117;465.5000000;468.6000000;458.2000000;460.0000000;1292307
SIBN;D;20221118;459.9500000;462.1500000;456.2000000;459.4500000;679553
SIBN;D;20221121;459.9500000;460.4000000;447.6000000;450.0000000;899917
SIBN;D;20221122;453.1500000;459.7500000;452.0000000;459.1000000;672622
