<TICKER>;<PER>;<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TGKD;D;20220815;0.0127750;0.0127950;0.0126700;0.0127450;38400000
TGKD;D;20220816;0.0128300;0.0128300;0.0126850;0.0127350;28800000
TGKD;D;20220817;0.0126800;0.0127750;0.0126550;0.0126900;37500000
TGKD;D;20220818;0.0127400;0.0127650;0.0126900;0.0127200;27800000
TGKD;D;20220819;0.0126400;0.0127550;0.0126300;0.0127150;18400000
TGKD;D;20220822;0.0127300;0.0127700;0.0126950;0.0127150;69900000
TGKD;D;20220823;0.0127150;0.0127750;0.0127000;0.0127150;22200000
TGKD;D;20220824;0.0127450;0.0127950;0.0126550;0.0127700;136200000
TGKD;D;20220825;0.0128050;0.0128450;0.0127900;0.0128200;133800000
TGKD;D;20220826;0.0128100;0.0128700;0.0127950;0.0127950;33900000
TGKD;D;20220829;0.0128050;0.0128950;0.0128050;0.0128050;68200000
TGKD;D;20220830;0.0128450;0.0129600;0.0128100;0.0129000;224400000
TGKD;D;20220831;0.0128350;0.0129600;0.0128200;0.0128500;48800000
TGKD;D;20220901;0.0129550;0.0129650;0.0128400;0.0128500;118700000
TGKD;D;20220902;0.0129150;0.0129650;0.0128500;0.0128850;40200000
TGKD;D;20220905;0.0128050;0.0129100;0.0128050;0.0128600;122600000
TGKD;D;20220906;0.0129400;0.0129500;0.0128600;0.0129000;56500000
TGKD;D;20220907;0.0129550;0.0129600;0.0128850;0.0129200;32300000
TGKD;D;20220908;0.0129600;0.0129750;0.0128700;0.0129050;202800000
TGKD;D;20220909;0.0128650;0.0129250;0.0128650;0.0128800;24200000
TGKD;D;20220912;0.0128450;0.0129700;0.0128450;0.0129050;62300000
TGKD;D;20220913;0.0129250;0.0129650;0.0129050;0.0129450;109300000
